date,wwtp,capacity,temperature,precipitations_96h_sum_mm,precipitations_24h_sum_mm,totalEc_cfu_100ml_a,totalEc_cfu_100ml_b,esblEc_cfu_100ml_a,esblEc_cfu_100ml_b,esblEc_percentage_a,esblEc_percentage_b,flowrate_m3_day,totalEc_loads_a,totalEc_loads_b,esblEc_loads_a,esblEc_loads_b
15_03_2022,Laupen,62000,7.3,5.1,0.4,4200000,3200000,16000,16000,0.380952381,0.5,128545.989,87079540935,66346316903,331731584.5,331731584.5
22_03_2022,Lugano,124000,8.4,0,0,4200000,3900000,43000,38000,1.023809524,0.974358974,15959.19069,5405532330,5019422878,55342354.81,48907197.28
22_03_2022,Zurich,471000,7.2,0,0,3800000,3200000,73000,46000,1.921052632,1.4375,11584,934590233.5,787023354.6,17953970.28,11313460.72
22_03_2022,Altenrhein,64000,6.2,0,0,4900000,4100000,72000,65000,1.469387755,1.585365854,138076,1.05714E+11,88454937500,1553355000,1402334375
22_03_2022,Chur,55000,9.9,0,0,5100000,5100000,43000,37000,0.843137255,0.725490196,18048,16735418182,16735418182,141102545.5,121413818.2
22_03_2022,Geneva,454000,8.1,0,0,1900000,1900000,44000,39000,2.315789474,2.052631579,34774,1455299559,1455299559,33701674.01,29871938.33
22_03_2022,Laupen,62000,7.1,0,0,4600000,3800000,58000,49000,1.260869565,1.289473684,142054.1771,1.05395E+11,87065463384,1328893915,1122686238
29_03_2022,Lugano,124000,12,0,0,4500000,4300000,34000,27000,0.755555556,0.627906977,34294,12445403226,11892274194,94031935.48,74672419.35
29_03_2022,Zurich,471000,11.5,0.5,0.5,3600000,3600000,53000,52000,1.472222222,1.444444444,42842,3274547771,3274547771,48208619.96,47299023.35
29_03_2022,Altenrhein,64000,10.9,0,0,5000000,4600000,41000,37000,0.82,0.804347826,14763,11533593750,10610906250,94575468.75,85348593.75
29_03_2022,Chur,55000,12.4,0,0,7400000,7400000,34000,23000,0.459459459,0.310810811,187444,2.52197E+11,2.52197E+11,1158744727,783856727.3
29_03_2022,Geneva,454000,12.5,0.1,0.1,4600000,4100000,45000,29000,0.97826087,0.707317073,26911,2726665198,2430288546,26673898.68,17189845.81
29_03_2022,Laupen,62000,10.9,0,0,5400000,4900000,45000,30000,0.833333333,0.612244898,175609.9045,1.52951E+11,1.38788E+11,1274588017,849725344.4
05_04_2022,Lugano,124000,10,1.2,0,2400000,na,33000,29000,1.375,na,36133,6993483871,na,96160403.23,84504596.77
05_04_2022,Zurich,471000,7.5,2.8,0,1200000,1000000,51000,40000,4.25,4,164008.7689,4178567362,3482139468,177589112.9,139285578.7
05_04_2022,Altenrhein,64000,7.4,2.2,1.3,900000,700000,24000,21000,2.666666667,3,28481.89207,4005266073,3115206946,106807095.3,93456208.37
